DateTime,RealPower,ReactivePower
29/02/20 0:00,61.077,41.02
29/02/20 1:00,64.231,41.408
29/02/20 2:00,64.612,41.619
29/02/20 3:00,67.146,42.133
29/02/20 4:00,66.027,41.243
29/02/20 5:00,71.29,42.855
29/02/20 6:00,88.297,42.521
29/02/20 7:00,100.229,51.171
29/02/20 8:00,99.979,53.796
29/02/20 9:00,101.697,51.495
29/02/20 10:00,105.989,52.704
29/02/20 11:00,118.934,62.065
29/02/20 12:00,124.29,62.228
29/02/20 13:00,121.083,60.699
29/02/20 14:00,129.931,63.085
29/02/20 15:00,10,5
29/02/20 16:00,10,5
29/02/20 17:00,10,5
29/02/20 18:00,126.02,61.573
29/02/20 19:00,125.546,62.978
29/02/20 20:00,132.675,63.974
29/02/20 21:00,126.564,63.327
29/02/20 22:00,126.309,63.835
29/02/20 23:00,122.349,63.248
